,,,,,,,Daily Price Arrival Report-30-11-2025 to 10-06-2026 for Multiple States,,,,,,
State,District,Market,Commodity Group,Commodity,Variety,Grade,Min Price,Max Price,Modal Price,Price Unit,Arrival Quantity,Arrival Unit,Arrival Date
Andhra Pradesh,East Godavari,Kovvur APMC,Cereals,Paddy(Common),MTU-1010,Grade Range-2,"2,400.00","2,400.00","2,400.00",Rs./Quintal,1.00,Metric Tonnes,02-06-2026
Andhra Pradesh,East Godavari,Kovvur APMC,Cereals,Paddy(Common),MTU-1010,Grade Range-2,"2,400.00","2,400.00","2,400.00",Rs./Quintal,1.00,Metric Tonnes,01-06-2026
Andhra Pradesh,Eluru,Nuzvid APMC,Cereals,Paddy(Common),Sona,Local,"2,390.00","2,390.00","2,390.00",Rs./Quintal,30.00,Metric Tonnes,05-06-2026
Andhra Pradesh,Eluru,Polavaram APMC,Cereals,Paddy(Common),1001,Local,"2,369.00","2,369.00","2,369.00",Rs./Quintal,1.00,Metric Tonnes,31-05-2026
Andhra Pradesh,Eluru,Polavaram APMC,Cereals,Paddy(Common),1001,Local,"2,369.00","2,369.00","2,369.00",Rs./Quintal,1.00,Metric Tonnes,30-05-2026
Andhra Pradesh,Eluru,Polavaram APMC,Cereals,Paddy(Common),1001,Local,"2,369.00","2,369.00","2,369.00",Rs./Quintal,1.00,Metric Tonnes,29-05-2026
Andhra Pradesh,Eluru,Polavaram APMC,Cereals,Paddy(Common),1001,Local,"2,369.00","2,369.00","2,369.00",Rs./Quintal,1.00,Metric Tonnes,28-05-2026
Andhra Pradesh,Eluru,Polavaram APMC,Cereals,Paddy(Common),1001,Local,"2,389.00","2,389.00","2,389.00",Rs./Quintal,1.00,Metric Tonnes,10-06-2026
Andhra Pradesh,Eluru,Polavaram APMC,Cereals,Paddy(Common),1001,Local,"2,389.00","2,389.00","2,389.00",Rs./Quintal,1.00,Metric Tonnes,09-06-2026
Andhra Pradesh,Eluru,Polavaram APMC,Cereals,Paddy(Common),1001,Local,"2,380.00","2,380.00","2,380.00",Rs./Quintal,1.00,Metric Tonnes,08-06-2026
Andhra Pradesh,Eluru,Polavaram APMC,Cereals,Paddy(Common),1001,Local,"2,380.00","2,380.00","2,380.00",Rs./Quintal,1.00,Metric Tonnes,06-06-2026
Andhra Pradesh,Eluru,Polavaram APMC,Cereals,Paddy(Common),1001,Local,"2,380.00","2,380.00","2,380.00",Rs./Quintal,1.00,Metric Tonnes,05-06-2026
Andhra Pradesh,Eluru,Polavaram APMC,Cereals,Paddy(Common),1001,Local,"2,380.00","2,380.00","2,380.00",Rs./Quintal,1.00,Metric Tonnes,04-06-2026
Andhra Pradesh,Eluru,Polavaram APMC,Cereals,Paddy(Common),1001,Local,"2,369.00","2,369.00","2,369.00",Rs./Quintal,1.00,Metric Tonnes,03-06-2026
Andhra Pradesh,Eluru,Polavaram APMC,Cereals,Paddy(Common),1001,Local,"2,369.00","2,369.00","2,369.00",Rs./Quintal,1.00,Metric Tonnes,02-06-2026
Andhra Pradesh,Eluru,Polavaram APMC,Cereals,Paddy(Common),1001,Local,"2,369.00","2,369.00","2,369.00",Rs./Quintal,1.00,Metric Tonnes,01-06-2026
Andhra Pradesh,Kakinada,Jaggampet APMC,Cereals,Paddy(Common),Common,FAQ,"2,369.00","2,379.00","2,379.00",Rs./Quintal,221.00,Metric Tonnes,31-12-2025
Andhra Pradesh,Kakinada,Jaggampet APMC,Cereals,Paddy(Common),Common,FAQ,"2,369.00","2,379.00","2,379.00",Rs./Quintal,88.00,Metric Tonnes,31-03-2026
Andhra Pradesh,Kakinada,Jaggampet APMC,Cereals,Paddy(Common),Common,FAQ,"2,369.00","2,379.00","2,379.00",Rs./Quintal,21.90,Metric Tonnes,30-12-2025
Andhra Pradesh,Kakinada,Jaggampet APMC,Cereals,Paddy(Common),Common,FAQ,"2,369.00","2,379.00","2,379.00",Rs./Quintal,17.80,Metric Tonnes,30-11-2025
Andhra Pradesh,Kakinada,Jaggampet APMC,Cereals,Paddy(Common),Common,FAQ,"2,369.00","2,379.00","2,379.00",Rs./Quintal,100.00,Metric Tonnes,30-04-2026
Andhra Pradesh,Kakinada,Jaggampet APMC,Cereals,Paddy(Common),Common,FAQ,"2,369.00","2,379.00","2,379.00",Rs./Quintal,54.00,Metric Tonnes,30-03-2026
Andhra Pradesh,Kakinada,Jaggampet APMC,Cereals,Paddy(Common),Common,FAQ,"2,369.00","2,379.00","2,379.00",Rs./Quintal,120.50,Metric Tonnes,29-04-2026
Andhra Pradesh,Kakinada,Jaggampet APMC,Cereals,Paddy(Common),Common,FAQ,"2,369.00","2,379.00","2,379.00",Rs./Quintal,65.90,Metric Tonnes,29-03-2026
Andhra Pradesh,Kakinada,Jaggampet APMC,Cereals,Paddy(Common),Common,FAQ,"2,369.00","2,379.00","2,379.00",Rs./Quintal,140.40,Metric Tonnes,28-04-2026
Andhra Pradesh,Kakinada,Jaggampet APMC,Cereals,Paddy(Common),Common,FAQ,"2,369.00","2,379.00","2,379.00",Rs./Quintal,65.50,Metric Tonnes,28-03-2026
Andhra Pradesh,Kakinada,Jaggampet APMC,Cereals,Paddy(Common),Common,FAQ,"2,369.00","2,379.00","2,379.00",Rs./Quintal,305.70,Metric Tonnes,27-04-2026
Andhra Pradesh,Kakinada,Jaggampet APMC,Cereals,Paddy(Common),Common,FAQ,"2,369.00","2,379.00","2,369.00",Rs./Quintal,127.10,Metric Tonnes,27-03-2026
Andhra Pradesh,Kakinada,Jaggampet APMC,Cereals,Paddy(Common),Common,FAQ,"2,369.00","2,379.00","2,379.00",Rs./Quintal,208.60,Metric Tonnes,26-04-2026
Andhra Pradesh,Kakinada,Jaggampet APMC,Cereals,Paddy(Common),Common,FAQ,"2,369.00","2,379.00","2,369.00",Rs./Quintal,76.30,Metric Tonnes,26-03-2026
Andhra Pradesh,Kakinada,Jaggampet APMC,Cereals,Paddy(Common),Common,FAQ,"2,369.00","2,379.00","2,379.00",Rs./Quintal,194.10,Metric Tonnes,25-04-2026
Andhra Pradesh,Kakinada,Jaggampet APMC,Cereals,Paddy(Common),Common,FAQ,"2,369.00","2,379.00","2,369.00",Rs./Quintal,93.40,Metric Tonnes,25-03-2026
Andhra Pradesh,Kakinada,Jaggampet APMC,Cereals,Paddy(Common),Common,FAQ,"2,369.00","2,379.00","2,379.00",Rs./Quintal,175.50,Metric Tonnes,24-04-2026
Andhra Pradesh,Kakinada,Jaggampet APMC,Cereals,Paddy(Common),Common,FAQ,"2,369.00","2,379.00","2,369.00",Rs./Quintal,66.00,Metric Tonnes,24-03-2026
Andhra Pradesh,Kakinada,Jaggampet APMC,Cereals,Paddy(Common),Common,FAQ,"2,369.00","2,379.00","2,379.00",Rs./Quintal,237.20,Metric Tonnes,23-04-2026
